date,ts_ms,equity
2025-11-21,1763683200000,1075.4094638415063
2025-11-22,1763769600000,1090.3356242005377
2025-11-23,1763856000000,1089.956662367358
2025-11-24,1763942400000,1066.8061145218999
2025-11-25,1764028800000,1071.3072250814344
2025-11-26,1764115200000,1077.0334203918585
2025-11-27,1764201600000,1077.7130546020871
2025-11-28,1764288000000,1077.7130546020871
2025-11-29,1764374400000,1077.7130546020871
2025-11-30,1764460800000,1077.3089122066112
2025-12-01,1764547200000,1054.970911912007
2025-12-02,1764633600000,1060.7384993014539
2025-12-03,1764720000000,1029.6076327991832
2025-12-04,1764806400000,1029.2215299368836
2025-12-05,1764892800000,1017.7589380046297
2025-12-06,1764979200000,996.1120556554598
2025-12-07,1765065600000,989.0740375074731
2025-12-08,1765152000000,991.0290232077688
2025-12-09,1765238400000,990.6573873240659
2025-12-10,1765324800000,1018.6712414081472
2025-12-11,1765411200000,997.5490932175492
2025-12-12,1765497600000,1027.1235634052439
2025-12-13,1765584000000,984.9703509667816
2025-12-14,1765670400000,964.5469907394853
2025-12-15,1765756800000,964.5469907394853
2025-12-16,1765843200000,944.547108886502
2025-12-17,1765929600000,944.1929037206695
2025-12-18,1766016000000,924.9619245837403
2025-12-19,1766102400000,924.9619245837403
2025-12-20,1766188800000,924.9619245837403
2025-12-21,1766275200000,924.9619245837403
2025-12-22,1766361600000,924.6150638620213
2025-12-23,1766448000000,937.0229028092214
2025-12-24,1766534400000,936.671519220668
2025-12-25,1766620800000,945.5568072403771
2025-12-26,1766707200000,945.5568072403771
2025-12-27,1766793600000,945.5568072403771
2025-12-28,1766880000000,953.4688760092529
2025-12-29,1766966400000,953.4688760092529
2025-12-30,1767052800000,933.6986988652009
2025-12-31,1767139200000,933.6986988652009
2026-01-01,1767225600000,933.6986988652009
2026-01-02,1767312000000,933.6986988652009
2026-01-03,1767398400000,933.6986988652009
2026-01-04,1767484800000,933.6986988652009
2026-01-05,1767571200000,933.6986988652009
2026-01-06,1767657600000,933.6986988652009
2026-01-07,1767744000000,933.6986988652009
2026-01-08,1767830400000,933.6986988652009
2026-01-09,1767916800000,933.6986988652009
2026-01-10,1768003200000,933.6986988652009
2026-01-11,1768089600000,933.6986988652009
2026-01-12,1768176000000,933.6986988652009
2026-01-13,1768262400000,933.6986988652009
2026-01-14,1768348800000,933.6986988652009
2026-01-15,1768435200000,933.6986988652009
2026-01-16,1768521600000,933.6986988652009
2026-01-17,1768608000000,933.6986988652009
2026-01-18,1768694400000,933.6986988652009
2026-01-19,1768780800000,933.6986988652009
2026-01-20,1768867200000,933.6986988652009
2026-01-21,1768953600000,933.6986988652009
2026-01-22,1769040000000,933.6986988652009
2026-01-23,1769126400000,933.6986988652009
2026-01-24,1769212800000,933.6986988652009
2026-01-25,1769299200000,933.6986988652009
2026-01-26,1769385600000,933.6986988652009
2026-01-27,1769472000000,933.6986988652009
2026-01-28,1769558400000,933.6986988652009
2026-01-29,1769644800000,933.6986988652009
2026-01-30,1769731200000,933.6986988652009
2026-01-31,1769817600000,933.6986988652009
2026-02-01,1769904000000,933.6986988652009
